fips_id	precinct_number	precinct	population_total	population_black	population_asian	population_white	population_multiracial	population_other	population_hispanic	housing_units
51790	201	WARD NO 2	6262	816	34	4876	429	107	232	3009
51790	301	WARD NO 3	4433	303	18	3785	270	57	169	2092
51790	401	WARD NO 4	3858	309	14	3239	235	61	96	1837
51790	501	WARD NO 5	5148	613	112	3942	294	187	250	2357
51800	102	DRIVER	5069	761	145	3748	351	64	195	1906
51800	104	BENNETTS CREEK	4910	1443	156	2708	468	135	305	1736
51800	201	EBENEZER	2319	227	42	1895	117	38	71	995
51800	202	CHUCKATUCK	2593	622	23	1772	147	29	93	1137
51800	203	KINGS FORK	5118	2392	117	2135	349	125	248	1999
51800	301	WHITE MARSH	1193	654	9	443	74	13	28	473
51800	302	JOHN F KENNEDY	5120	3781	31	883	243	182	254	2134
51800	401	AIRPORT	2203	488	16	1491	157	51	91	945
51800	402	WHALEYVILLE	2407	259	11	1958	154	25	44	1037
51800	403	SOUTHSIDE	2488	2075	8	257	116	32	66	1122
51800	501	KILBYS MILL	4400	1081	40	2995	227	57	166	1775
51800	502	HOLLAND	3947	763	18	2863	258	45	117	1665
51800	504	LAKE COHOON	4030	689	21	3075	192	53	136	1639
51800	601	LAKESIDE	4567	2351	17	1920	219	60	116	2250
51800	602	OLDE TOWNE	1402	812	3	491	80	16	46	696
51800	603	ELEPHANTS FORK/WESTHAVEN	2278	1090	21	1034	96	37	101	633
51810	1	NORTH BEACH	4914	100	81	4415	249	69	164	3061
51810	2	SOUTH BEACH	5866	674	185	4294	480	233	475	3508
51810	3	OCEAN LAKES	3536	377	111	2550	408	90	265	1350
51810	4	LINKHORN	4869	329	132	3910	378	120	365	2614
51810	5	SEATACK	6442	1652	135	3259	664	732	1259	3062
51810	6	ALANTON	4285	221	110	3647	259	48	163	1672
51810	7	KINGSTON	2582	46	102	2193	213	28	140	950
51810	8	LONDON BRIDGE	5743	933	219	3849	588	154	432	2672
51810	9	TRANTWOOD	3701	50	86	3237	271	57	164	1396
51810	10	GREAT NECK	4490	44	283	3839	272	52	178	1612
51810	11	CAPE HENRY	5113	180	81	4394	349	109	306	2928
51810	12	PLAZA	5354	1256	243	2960	593	302	597	2048
51810	13	MT TRASHMORE	5871	807	363	3814	619	268	593	2226
51810	14	MALIBU	4824	564	191	3517	380	172	400	1896
51810	15	OLD DONATION	4338	808	232	2692	389	217	435	1769
51810	16	ARAGONA	6711	1071	468	4071	801	300	687	2562
51810	17	OCEAN PARK	3260	59	87	2822	245	47	174	1690
51810	18	THOROUGHGOOD	4850	304	411	3591	442	102	321	1789
51810	19	LAKE SMITH	2531	196	172	1903	197	63	158	1131
51810	20	BAYSIDE	4698	677	363	2813	453	392	635	1960
51810	21	DAVIS CORNER	5897	2699	497	1928	561	212	505	2368
51810	22	POINT O VIEW	3368	587	165	2144	327	145	273	1329
51810	23	ARROWHEAD	4634	756	138	3089	494	157	358	1736
51810	24	LARKSPUR	3252	729	167	1982	293	81	218	1485
51810	25	AVALON	6571	1539	539	3681	603	209	452	2777
51810	26	FAIRFIELD	3623	487	236	2502	326	72	203	1471
51810	27	EDWIN	3873	390	297	2723	349	114	283	1468
51810	28	THALIA	2964	271	126	2242	255	70	177	1152
51810	29	HOLLAND	6068	1858	480	2596	799	335	742	2241
51810	30	RED WING	6816	842	248	4775	590	361	803	2492
51810	31	SIGMA	5289	176	257	4259	522	75	320	1629
51810	32	CREEDS	1952	96	15	1697	121	23	70	742
51810	33	CAPPS SHOP	2037	24	16	1848	113	36	64	799
51810	34	BLACKWATER	1259	79	10	1075	73	22	54	503
51810	35	COURTHOUSE	3961	256	255	3088	291	71	212	1724
51810	36	WINDSOR OAKS	6302	1588	463	3336	654	261	628	2571
51810	37	CHESAPEAKE BEACH	7396	1037	214	4900	871	374	984	2782
51810	38	WITCHDUCK	4833	298	286	3830	324	95	255	2164
51810	39	PEMBROKE	6863	1251	506	4139	705	262	634	3574
51810	40	BONNEY	6042	1147	394	3103	756	642	1174	2486
51810	41	COLLEGE PARK	6209	3207	302	2005	463	232	472	2540
51810	42	BRANDON	4652	1000	540	2475	485	152	437	1755
51810	43	BELLAMY	5106	1417	698	2267	510	214	533	2061
51810	44	CENTERVILLE	4870	799	627	2828	504	112	309	1771
51810	45	TIMBERLAKE	6471	2228	821	2399	747	276	681	2280
51810	46	GREEN RUN	5059	1462	1146	1709	542	200	513	1680
51810	47	KINGS GRANT	4474	96	180	3870	270	58	181	1657
51810	48	WOLFSNARE	4971	424	148	3894	408	97	308	2176
51810	49	LYNNHAVEN	4323	75	99	3905	204	40	152	3248
51810	50	OCEANA	4535	1310	175	2359	494	197	456	2120
51810	51	STRATFORD CHASE	3960	622	243	2551	437	107	330	1673
51810	52	HOMESTEAD	5914	1031	868	3255	619	141	424	2124
51810	53	SHANNON	3569	585	183	2351	346	104	295	1619
51810	54	CROMWELL	3528	587	468	1939	422	112	371	1188
51810	55	MAGIC HOLLOW	6868	1828	819	2956	842	423	888	2668
51810	56	EDINBURGH	1883	161	68	1452	154	48	120	783
51810	57	SHERRY PARK	3275	734	292	1946	213	90	176	1471
51810	58	GLENWOOD	4660	885	849	2300	439	187	386	1474
51810	59	SHELTON PARK	4353	1005	276	2427	421	224	453	2002
51810	60	FOXFIRE	5130	308	351	3904	484	83	353	1787
51810	61	BAKER	7741	3915	434	2155	695	542	1005	3236
51810	62	LANDSTOWN	4859	618	437	3141	502	161	432	1631
51810	63	CULVER	6445	688	304	4627	621	205	625	2022
51810	64	ROSEMONT FOREST	4031	667	493	2206	558	107	397	1362
51810	65	COLONIAL	5668	1230	1374	2320	562	182	447	1924
51810	66	HUNT	3798	282	139	2957	353	67	260	1330
51810	67	EASTERN SHORE	3284	690	109	1976	350	159	362	1622
51810	68	MANOR	3606	460	314	2474	292	66	191	1373
51810	69	SHELL	4140	1684	274	1530	452	200	466	1646
51810	70	CORPORATE LANDING	6483	967	297	4149	789	281	774	2532
51810	71	ROUND HILL	2811	621	469	1366	291	64	211	911
51810	72	RUDEE	4080	131	72	3504	304	69	170	2494
51810	73	DAHLIA	4984	1513	594	2103	533	241	579	2034
51810	74	BUCKNER	4603	1363	568	1968	484	220	473	1954
